customerid,firstname,lastname,email,phone,is_active,accountid,join_date
1,Claire,Cash,cashmore@ggmmail.com,0219874111,1,11,1/06/2021
2,Cameron,Carlos,cameron.carlos@hoootmail.com,0271234567,1,12,1/06/2021
3,Chloe,Carsewell,chloehappy@hoootmail.com,0227894147,1,13,2/06/2021
4,Charles,Carrie,CharlesYY@ggmmail.com,0213254125,1,14,3/06/2021
5,Christian,Carn,Christian789@hoootmail.com,0279987444,1,15,4/06/2021
6,Carl,Chapelhow,CarlCarl123@ggmamil.com,0273322559,1,16,5/06/2021
7,Claire,Cabirne,CabirneClaireggmmail.com,0201618723,1,17,6/06/2021
8,Chase,Cadd,Chase.Cadd@hoootmail.com,0206885646,1,18,7/06/2021
9,Currie,Cadman,CadmanCurrieggmmail.com,0272642482,1,19,8/07/2021
10,Crisanto,Callingwood,Crisanto.Callingwood@hoootmail.com,0204882732,1,20,9/07/2021
11,Colin,Chad,Colin.Chad@hoootmail.com,0208366129,1,21,10/07/2021
12,Cardell,Celier,CelierCardellggmmail.com,0209291689,1,22,11/08/2021
13,Chesny,Clapton,Chesny.Clapton@hoootmail.com,0208128342,1,23,12/08/2021
14,Crosbey,Citwell,Crosbey.Citwell@whatmail.com,0208714761,1,24,13/02/2022
15,Crofton,Clappy,Crofton.Clappy@hoootmail.com,0207296895,1,25,14/02/2022
16,Crizant,Coen,CoenCrizantggmmail.com,0209349357,1,26,15/02/2022
17,Caylei,Cogger,Caylei.Cogger@whatmail.com,0201211224,1,27,16/02/2022
18,Celene,Colboron,Celene.Colboron@whatmail.com,0203288787,1,28,17/02/2022
19,Cosme,Corwant,CorwantCosmeggmmail.com,0208025543,1,29,18/02/2022
20,Cotton,Cornlock,CornlockCottonggmmail.com,0209593679,1,30,19/02/2022
21,Nova,Nelson,Nova.Nelson@yahahoooo.com,0202914222,1,31,20/02/2022
22,Nathan,Nichols,Nathan.Nichols@hagwarties.com,0205916938,1,32,21/02/2022
23,Nash,Newman,NashNewman@socool.com,0201379250,1,33,22/02/2022
24,Nilsa,Neal,Nilsa.Neal@yahahoooo.com,0205323525,1,34,23/02/2022
25,Noell,Newton,Noell.Newton@yahahoooo.com,0278322621,1,35,24/02/2022
26,Neville,Norris,Neville.Norris@yahahoooo.com,0205470817,1,36,25/02/2022
27,Noami,Norton,NoamiNorton@socool.com,0203340648,1,37,26/02/2022
28,Nairi,Norman,NairiNorman@socool.com,0209296347,1,38,27/02/2022
29,Nuala,Nicholson,Nuala.Nicholson@yahahoooo.com,0206547799,1,39,28/02/2022
30,Nilos,Noble,Nilos.Noble@hagwarties.com,0206252792,1,40,1/03/2022
31,Nilsson,Nolan,Nilsson.Nolan@yahahoooo.com,0209639486,1,41,2/03/2022
32,Nikkey,Nash,NikkeyNash@socool.com,0202446944,1,42,3/03/2022
33,Nikhel,Nguyen,NikhelNguyen@socool.com,0209638678,1,43,4/03/2022
34,Nikandrios,Nelson,Nikandrios.Nelson@hagwarties.com,0208317004,1,44,5/03/2022
35,Najah,Nascimento,Najah.Nascimento@yahahoooo.com,0226356501,1,45,6/03/2022
36,Noori,Naylor,Noori.Naylor@yahahoooo.com,0203018046,1,46,7/03/2022
37,Nicolina,Nakamura,NicolinaNakamura@socool.com,0275703391,1,47,8/03/2022
38,Nena,Navarro,NenaNavarro@socool.com,0207312972,1,48,9/03/2022
39,Nohea,Nealson,Nohea.Nealson@yahahoooo.com,0204211101,1,49,10/03/2022
40,Nicholas,Nascimento,Nicholas.Nascimento@yahahoooo.com,0204783292,1,50,11/03/2022
41,Natalie,Napoli,Natalie.Napoli@yahahoooo.com,0205258261,1,51,12/03/2022
42,Nolan,Noda,NolanNoda@socool.com,0205158703,1,52,13/03/2022
43,Niko,Nader,NikoNader@socool.com,0206150558,1,53,14/03/2022
44,Brooklyn,Brown,Brooklyn.Brown@yahahoooo.com,0206874427,1,54,15/03/2022
45,Blake,Booth,Blake.Booth@hagwarties.com,0205359004,1,55,16/03/2022
46,Bella,Bailey,Bella.Bailey@yahahoooo.com,0207090583,1,56,17/03/2022
47,Benjamin,Baker,BenjaminBaker@socool.com,0205007193,1,57,18/03/2022
48,Barrett,Burton,Barrett.Burton@yahahoooo.com,0206783470,1,58,19/03/2022
49,Berk,Bates,Berk.Bates@yahahoooo.com,0204859313,1,59,20/03/2022
50,Benz,Bond,BenzBond@socool.com,0205457630,1,60,21/03/2022
51,Benedictus,Bartlett,BenedictusBartlett@socool.com,0208278544,1,61,22/03/2022
52,Benadette,Bell,Benadette.Bell@hagwarties.com,0206258449,1,62,23/03/2022
53,Bobby,Bace,BaceBobby@sosocool.com,0225882194,1,63,24/03/2022
54,Brooke,Backford,Brooke.Backford@hagawazie.com,0226836608,1,64,25/03/2022
55,Ben,Babington,BabingtonBen@sosocool.com,0229473009,1,65,26/03/2022
56,Bethany,Bainfeild,Bethany.Bainfeild@hagawazie.com,0227406577,1,66,27/03/2022
57,Beatrice,Beesley,BeesleyBeatrice@sosocool.com,0221125405,1,67,28/03/2022
58,Bradley,Bennett,BennettBradley@sosocool.com,0228805391,1,68,29/03/2022
59,Beth,Benard,Beth.Benard@hagawazie.com,0227669559,1,69,30/03/2022
60,Billy,Bembridge,BembridgeBilly@sosocool.com,0223225669,1,70,31/03/2022
61,Blair,Bruce,BruceBlair@sosocool.com,0223198201,1,71,1/04/2022
62,Brody,Bryan,Brody.Bryan@hagawazie.com,0229248222,1,72,2/04/2022
63,Barnaby,Brushfeild,BrushfeildBarnaby@sosocool.com,0223091625,1,73,3/04/2022
64,Bertie,Bucher,BucherBertie@sosocool.com,0222125743,1,74,4/04/2022
65,Bonnie,Bryer,Bonnie.Bryer@hagawazie.com,0223497886,1,75,5/04/2022
66,Brandon,Buffitt,BuffittBrandon@sosocool.com,0225396327,1,76,6/04/2022
67,Baileigh,Bugby,BugbyBaileigh@sosocool.com,0224777990,1,77,7/04/2022
68,Bao,Bugell,Bao.Bugell@hagawazie.com,0222613633,1,78,8/04/2022
69,Barry,Bulfin,BulfinBarry@sosocool.com,0224963912,1,79,9/04/2022
70,Bartek,Bull,Bartek.Bull@hagawazie.com,0229298608,1,80,10/04/2022
71,Baylee,Buttery,Baylee.Buttery@hagawazie.com,0223749971,1,81,11/04/2022
72,Beck,Buttall,ButtallBeck@sosocool.com,0228300353,1,82,12/04/2022
73,Emma,Evans,EmmaEvans@cooolcool.com,0274095828,1,83,13/04/2022
74,Evelyn,Edwards,Evelyn.Edwards@happyday.com,0277844961,1,84,14/04/2022
75,Eleanor,Ellis,Eleanor.Ellis@cooolcool.com,0278874760,1,85,15/04/2022
76,Ethan,Erickson,Ethan.Erickson@happyday.com,0276578548,1,86,16/04/2022
77,Ellie,Elliott,Ellie.Elliott@cooolcool.com,0271414419,1,87,17/04/2022
78,Ezekiel,Edwards,Ezekiel.Edwards@happyday.com,0273462755,1,88,18/04/2022
79,Everett,English,Everett.English@cooolcool.com,0277715916,1,89,19/04/2022
80,Easton,Ewing,Easton.Ewing@happyday.com,0275549059,1,90,20/04/2022
81,Everly,Eation,Everly.Eation@cooolcool.com,0279191866,1,91,21/04/2022
82,Emmett,Emerson,Emmett.Emerson@happyday.com,0272912770,1,92,22/04/2022
83,Ezra,Elder,Ezra.Elder@happyday.com,0271038561,1,93,23/04/2022
84,Elias,Everett,Elias.Everett@cooolcool.com,0277420830,1,94,24/04/2022
85,Eliana,Eabril,ElianaEabril@happyday.com,0279819408,1,95,25/04/2022
86,Eon,Eagle,Eon.Eagle@happyday.com,0278285907,1,96,26/04/2022
87,Edy,Eairsby,EdyEairsby@cooolcool.com,0274959063,1,97,27/04/2022
88,Emerey,Eakins,Emerey.Eakins@happyday.com,0279753313,1,98,28/04/2022
89,Estell,Eastman,EstellEastman@happyday.com,0276103471,1,99,29/04/2022
90,Erskin,Eden,Erskin.Eden@happyday.com,0274130519,1,100,30/04/2022
91,Eivor,Edger,EivorEdger@happyday.com,0272800173,1,101,1/05/2022
92,Elsworth,Ddling,Elsworth.Ddling@happyday.com,0272349928,1,102,2/05/2022
93,Eroiqua,Ewberry,Eroiqua.Ewberry@forgeacc.com,0221283048,1,103,3/05/2022
94,Ersila,Ewin,Ersila.Ewin@forgeacc.com,0229188070,1,104,4/05/2022
95,Ervyn,Exall,Ervyn.Exall@forgeacc.com,0223132923,1,105,5/05/2022
96,Erwinn,Exeringham,Erwinn.Exeringham@faaakeacc.com,0227142512,1,106,6/05/2022
97,Esabio,Eyre,Esabio.Eyre@forgeacc.com,0227685439,1,107,7/05/2022
98,Eroique,Eve,Eroique.Eve@forgeacc.com,0225321030,1,108,8/05/2022
99,Errico,Evatts,Errico.Evatts@faaakeacc.com,0227729485,1,109,9/05/2022
100,Erwina,Everingham,Erwina.Everingham@forgeacc.com,0223120175,1,110,10/05/2022
101,Esabeau,Eversden,Esabeau.Eversden@forgeacc.com,0226644519,1,111,11/05/2022
102,Esavio,Enians,Esavio.Enians@faaakeacc.com,0227561537,1,112,12/05/2022
103,Elvy,Estwick,Elvy.Estwick@forgeacc.com,0274076881,1,113,13/05/2022
104,Elita,Erick,Elita.Erick@forgeacc.com,0225780468,1,114,14/05/2022
105,Eboni,Etheridge,Eboni.Etheridge@forgeacc.com,0223262635,1,115,15/05/2022
106,Ellin,Enicher,Ellin.Enicher@faaakeacc.com,0227133528,1,116,16/05/2022
107,Edelin,Elwick,Edelin.Elwick@forgeacc.com,0221390876,1,117,17/05/2022
108,Elvina,Emmerson,Elvina.Emmerson@forgeacc.com,0271519221,1,118,18/05/2022
